title,soup
Salton Sea,dualidentity identity warondrugs valkilmer vincentd'onofrio adamgoldberg d.j.caruso drama mystery thriller
Metallica: Through the Never,heavymetal liveconcert danedehaan mackenziegray jameshetfield nimródantal music
The Informers,sex sliceoflife hollywood billybobthornton kimbasinger mickeyrourke gregorjordan drama
Carlos,gun carbomb miniseries edgarramírez alexanderscheer fadiabisamra olivierassayas crime drama thriller
I Come with the Rain, joshhartnett eliaskoteas takuyakimura trananhhung thriller drama
One Man's Hero,war army battlefield tomberenger joaquimdealmeida danielaromo lancehool western action drama
Day of the Dead,florida insanity disembodiedhead loricardille terryalexander josephpilato georgea.romero horror sciencefiction
I Am Wrath,revenge murder policecorruption johntravolta christophermeloni rebeccademornay chuckrussell action crime drama
Renaissance,paris japanese identity danielcraig catherinemccormack romolagarai christianvolckman action animation sciencefiction
Red Sonja,monster swordplay queen arnoldschwarzenegger brigittenielsen sandahlbergman richardfleischer adventure fantasy action
Red Lights,paranormal psychic skepticism sigourneyweaver robertdeniro cillianmurphy rodrigocortés thriller
Superbad,becominganadult highschool youngpeople jonahhill michaelcera christophermintz-plasse gregmottola comedy
Madea Goes to Jail,criminal tylerperry derekluke keshiaknightpulliam tylerperry comedy crime drama
Wolves,adoption werewolf jasonmomoa lucastill johnpyper-ferguson davidhayter horror action
Step Up 2: The Streets,underdog competition streetgang brianaevigan roberthoffman willkemp jonm.chu music drama romance
Hoodwinked!,wolf suspicion littleredridinghood annehathaway glennclose jimbelushi coryedwards animation comedy family
Hotel Rwanda,rwanda refugee refugeecamp doncheadle sophieokonedo nicknolte terrygeorge drama history war
Hitman,assassin secretidentity intelligence timothyolyphant dougrayscott olgakurylenko xaviergens action crime drama
Black Nativity,musical basedonstagemusical womandirector forestwhitaker angelabassett jenniferhudson kasilemmons drama music
The Prince,mobster justice retired brucewillis jasonpatric johncusack brianamiller thriller action
City of Ghosts, mattdillon jamescaan nataschamcelhone mattdillon thriller
The Others,nanny hauntedhouse channelislands nicolekidman christophereccleston alakinamann alejandroamenábar horror drama mystery
Aliens,android extraterrestrialtechnology spacemarine sigourneyweaver michaelbiehn jamesremar jamescameron horror action thriller
My Fair Lady,musical transformation flowergirl audreyhepburn rexharrison stanleyholloway georgecukor drama family music
I Know What You Did Last Summer,secret blackmail fisherman jenniferlovehewitt sarahmichellegellar ryanphillippe jimgillespie horror thriller mystery
Let's Be Cops,corruption robbery kidnapping jakejohnson damonwayansjr. ninadobrev lukegreenfield comedy
Sideways,california golf oscaraward paulgiamatti thomashadenchurch virginiamadsen alexanderpayne comedy drama romance
Beerfest,germany competition prostitute erikstolhanske jaychandrasekhar stevelemme jaychandrasekhar comedy
Halloween,femalenudity nudity mask donaldpleasence jamieleecurtis p.j.soles johncarpenter horror thriller
Good Boy!, mollyshannon liamaiken matthewbroderick johnroberthoffman comedy family sciencefiction
The Best Man Holiday,bestman terrencehoward haroldperrineau morrischestnut malcolmd.lee comedy
Smokin' Aces,neo-nazi gun sniper ryanreynolds rayliotta josephruskin joecarnahan action comedy crime
Saw: The Final Chapter,survivor violence selfhelpguru tobinbell costasmandylor betsyrussell kevingreutert horror crime
40 Days and 40 Nights,sexaddiction laundromat joshhartnett shannynsossamon adamtrese michaellehmann comedy romance
A Night at the Roxbury,nightlife nightclub flower willferrell chriskattan jennifercoolidge johnfortenberry comedy
Beastly,basedonnovel love beautifulwoman alexpettyfer vanessahudgens mary-kateolsen danielbarnz drama fantasy romance
The Hills Have Eyes,ambush newmexico van aaronstanford kathleenquinlan vinessashaw alexandreaja horror thriller
Dickie Roberts: Former Child Star,loser childprodigy davidspade marymccormack craigbierko samweisman comedy
"McFarland, USA",california smalltown coach kevincostner ramirorodriguez carlospratts nikicaro drama
Lottery Ticket, shadmoss brandont.jackson naturinaughton erikwhite comedy
ATL, t.i. evanross jackielong christianrobinson drama
Pitch Perfect,competition roommate college annakendrick skylarastin brittanysnow jasonmoore comedy music romance
Summer Catch,beach baseball sport freddieprinzejr. jessicabiel fredward miketollin drama comedy romance
A Simple Plan,brotherbrotherrelationship moneydelivery airplane billpaxton bridgetfonda billybobthornton samraimi drama crime thriller
They,suicide asylum nightmare lauraregan marcblucas ethanembry robertharmon horror thriller
Larry the Cable Guy: Health Inspector,healthinspector foodintoxication larrythecableguy irisbahr tonyhale trentcooper comedy
The Adventures of Elmo in Grouchland, kevinclash mandypatinkin vanessawilliams garyhalvorson family
Brooklyn's Finest,malenudity femalenudity tattoo richardgere doncheadle ethanhawke antoinefuqua crime drama thriller
55 Days at Peking,siege epic beijing charltonheston avagardner davidniven nicholasray action drama history
Evil Dead,remake demon necronomicon janelevy shilohfernandez loutaylorpucci fedealvarez horror
My Life in Ruins,beach greece tourbus niavardalos richarddreyfuss alexisgeorgoulis donaldpetrie comedy romance
American Dreamz,usapresident moderator musical hughgrant dennisquaid mandymoore paulweitz comedy drama family
Superman IV: The Quest for Peace,savingtheworld dccomics mountains christopherreeve margotkidder genehackman sidneyj.furie action adventure sciencefiction
How She Move,blackpeople lossofsister dance rutinawesley dwainmurphy boydbanks ianiqbalrashid drama
Running Scared,icehockey racism pedophile paulwalker cameronbright verafarmiga waynekramer action crime drama
Bobby Jones: Stroke of Genius,sport jimcaviezel claireforlani jeremynortham rowdyherrington drama
Shanghai Surprise, madonna seanpenn paulfreeman jimgoddard adventure
The Illusionist,magic princess love edwardnorton jessicabiel paulgiamatti neilburger fantasy drama thriller
Roar,africa lion elephant tippihedren melaniegriffith jerrymarshall noelmarshall adventure thriller
Veronica Guerin,journalism police drugscene cateblanchett gerardmcsorley ciaránhinds joelschumacher drama crime thriller
Escobar: Paradise Lost,surfer murder murderer beniciodeltoro joshhutcherson bradycorbet andreadistefano thriller romance
Southland Tales,suicide brotherbrotherrelationship spy dwaynejohnson seannwilliamscott sarahmichellegellar richardkelly action adventure comedy
Dragon Hunters,destroy future worldsupremacy vincentlindon patricktimsit philippenahon guillaumeivernel animation family
Damnation Alley,basedonnovel future post-apocalyptic jan-michaelvincent georgepeppard dominiquesanda jacksmight action adventure sciencefiction
The Apparition,experiment supernatural paranormal ashleygreene sebastianstan tomfelton toddlincoln horror thriller
My Girl,neighbor childkilledbyanimal writingclass annachlumsky macaulayculkin danaykroyd howardzieff comedy drama family
Fur: An Imaginary Portrait of Diane Arbus,photographer biography hair nicolekidman robertdowneyjr. tyburrell stevenshainberg drama mystery romance
Wall Street,power fraud broker charliesheen michaeldouglas martinsheen oliverstone crime drama
Sense and Sensibility,bowling basedonnovel servant katewinslet emmathompson hughgrant anglee drama romance
Becoming Jane,england judge irland annehathaway jamesmcavoy juliewalters julianjarrold drama romance
Sydney White,college romance sorority amandabynes sarapaxton mattlong joenussbaum comedy
House of Sand and Fog,sanfrancisco immigrant house jenniferconnelly benkingsley roneldard vadimperelman drama
Dead Poets Society,individual philosophy poetry robinwilliams ethanhawke robertseanleonard peterweir drama
Dumb and Dumber,gasstation motel utah jimcarrey jeffdaniels laurenholly bobbyfarrelly comedy
When Harry Met Sally...,newyork wifehusbandrelationship restaurant megryan billycrystal carriefisher robreiner comedy romance drama
The Verdict,boston court malpractice paulnewman charlotterampling jackwarden sidneylumet drama
Road Trip,femalenudity sex sexism breckinmeyer seannwilliamscott amysmart toddphillips comedy adventure
Varsity Blues,americanfootball smalltown texas jamesvanderbeek amysmart jonvoight brianrobbins comedy drama romance
The Artist,filmproducer filmhistory moviestudio jeandujardin bérénicebejo johngoodman michelhazanavicius drama comedy romance
The Unborn, odetteannable garyoldman meagangood davids.goyer horror thriller mystery
Moonrise Kingdom,newengland firstlove eyepatch brucewillis edwardnorton jaredgilman wesanderson comedy drama romance
The Texas Chainsaw Massacre: The Beginning,massmurder plannedmurder chainsaw jordanabrewster taylorhandley diorabaird jonathanliebesman horror
The Young Messiah,egypt jesuschrist gospel adamgreaves-neal saralazzaro vincentwalsh cyrusnowrasteh drama
The Master of Disguise,aftercreditsstinger duringcreditsstinger danacarvey brentspiner jenniferesposito perryandelinblake comedy family
Pan's Labyrinth,spain resistance servant ivanabaquero maribelverdú sergilópez guillermodeltoro fantasy drama war
See Spot Run,dog michaelclarkeduncan davidarquette lesliebibb johnwhitesell action comedy family
Baby Boy,singleparent intolerance condom tyresegibson tarajip.henson omargooding johnsingleton crime drama romance
The Roommate,jealousy roommate obsession minkakelly leightonmeester camgigandet christiane.christiansen thriller drama horror
Joe Dirt,parentskidsrelationship lossofparents lookingforbirthparents davidspade brittanydaniel dennismiller denniegordon mystery adventure comedy
Double Impact,lossofparents karate fighter jean-claudevandamme geoffreylewis alonnashaw sheldonlettich thriller action crime
Hot Fuzz,village arrest police simonpegg nickfrost jimbroadbent edgarwright crime action comedy
The Women,beautysalon divorce womandirector clorisleachman indiaennenga annettebening dianeenglish comedy drama romance
Vicky Cristina Barcelona,barcelonaspain menageatrois author scarlettjohansson rebeccahall javierbardem woodyallen drama romance
Arn: The Knight Templar,tvmovie joakimnätterqvist sofiahelin stellanskarsgård peterflinth action adventure drama
Boys and Girls,soulmates newlove platoniclove freddieprinzejr. claireforlani jasonbiggs robertiscove comedy drama romance
White Oleander,poison prison lossoffamily alisonlohman michellepfeiffer colehauser peterkosminsky drama
Jennifer's Body,bloodthirstiness highschool sexualmurder meganfox amandaseyfried johnnysimmons karynkusama comedy horror
Drowning Mona,suspicion suspect investigation dannydevito bettemidler nevecampbell nickgomez comedy crime mystery
Radio Days,beach taxidriver worldwarii woodyallen miafarrow jeffdaniels woodyallen comedy drama
Remember Me,newyork fathersonrelationship grieving robertpattinson emiliederavin piercebrosnan allencoulter drama romance
How to Deal,womandirector mandymoore trentford allisonjanney clarekilner drama comedy romance
My Stepmother is an Alien,alien spoof sneeze danaykroyd kimbasinger jonlovitz richardbenjamin comedy sciencefiction
Philadelphia,gay aids homophobia tomhanks denzelwashington jasonrobards jonathandemme drama
The Thirteenth Floor,artificialintelligence simulation computerprogram craigbierko arminmueller-stahl gretchenmol josefrusnak thriller sciencefiction mystery
The Cookout,comedy jarule timmeadows jeniferlewis lancerivera comedy drama
Meteor,meteor disaster disasterfilm seanconnery nataliewood karlmalden ronaldneame action sciencefiction thriller
Duets,musical gwynethpaltrow scottspeedman mariabello brucepaltrow comedy drama music
Hollywood Ending,blindnessandimpairedvision creativecrisis filmdirector woodyallen georgehamilton téaleoni woodyallen comedy drama
Detroit Rock City,parentskidsrelationship kiss independentfilm giuseppeandrews jamesdebello edwardfurlong adamrifkin comedy music
Highlander,newyork scotland swordplay christopherlambert roxannehart clancybrown russellmulcahy adventure action fantasy
Things We Lost in the Fire,sadness lossoffather junkie halleberry beniciodeltoro davidduchovny susannebier drama
Steel,dccomics losangeles soldier shaquilleo'neal annabethgish richardroundtree kennethjohnson sciencefiction action adventure
The Immigrant,newyork corruption sistersisterrelationship marioncotillard jeremyrenner joaquinphoenix jamesgray drama romance
The White Countess, ralphfiennes natasharichardson hiroyukisanada jamesivory drama history family
Trance,amnesia artthief hypnotism jamesmcavoy vincentcassel rosariodawson dannyboyle thriller crime drama
Soul Plane,blackpeople hip-hop nightclub tomarnold kevinhart methodman jessyterrero romance comedy
Welcome to the Sticks,clocktower jealousy cheating kadmerad danyboon zoéfélix danyboon comedy
Good,germany nazis nazism viggomortensen jasonisaacs markstrong vicenteamorim drama
Enter the Void,prostitute hallucination stripclub nathanielbrown pazdelahuerta cyrilroy gasparnoé fantasy drama
Vamps,vampire love womandirector aliciasilverstone krystenritter sigourneyweaver amyheckerling comedy romance horror
Hachi: A Dog's Tale,japanese loyalty humananimalrelationship richardgere joanallen jasonalexander lassehallström drama family
Zulu, orlandobloom forestwhitaker conradkemp jérômesalle crime drama thriller
The Homesman,dancing basedonnovel revenge hilaryswank tommyleejones gracegummer tommyleejones western drama
Juwanna Mann,"sport basketball beautifulwoman miguela.núñez,jr. vivicaa.fox kevinpollak jessevaughan comedy drama"
Ararat,destructionofacivilization turkey simonabkarian charlesaznavour christopherplummer atomegoyan war drama
Madison,sport independentfilm jimcaviezel jakelloyd marymccormack williambindley action adventure drama
Slow Burn, rayliotta llcoolj mekhiphifer waynebeach mystery crime drama
Wasabi,handcuffs hitman loveletter jeanreno ryokohirosue michelmuller gérardkrawczyk drama action comedy
Slither,smalltown mutant meteor nathanfillion donthompson elizabethbanks jamesgunn comedy horror sciencefiction
Beverly Hills Cop,california showdown undercover eddiemurphy judgereinhold johnashton martinbrest action comedy crime
Home Alone,holiday burglar homeinvasion macaulayculkin joepesci danielstern chriscolumbus comedy family
Three Men and a Baby,baby roommate bachelor tomselleck steveguttenberg teddanson leonardnimoy family comedy drama
Tootsie,infidelity love friends dustinhoffman jessicalange terigarr sydneypollack comedy romance
Top Gun,lovesickness lossoflover fighterpilot tomcruise kellymcgillis valkilmer tonyscott action romance war
"Crouching Tiger, Hidden Dragon",flying martialarts taskmaster chowyun-fat michelleyeoh zhangziyi anglee adventure drama action
American Beauty,malenudity femalenudity adultery kevinspacey annettebening thorabirch sammendes drama
The King's Speech,greatbritain radio monarchy colinfirth geoffreyrush helenabonhamcarter tomhooper drama history
Twins,perfection delivery lowintelligence arnoldschwarzenegger dannydevito kellypreston ivanreitman comedy
The Yellow Handkerchief,independentfilm williamhurt mariabello kristenstewart udayanprasad drama romance
The Color Purple,prison africa southernusa whoopigoldberg margaretavery dannyglover stevenspielberg drama
Tidal Wave,helicopter beach lossoffather parkjoong-hoon solkyung-gu uhmjung-hwa yoonje-kyoon action adventure drama
The Imitation Game,gay england worldwarii benedictcumberbatch keiraknightley matthewgoode mortentyldum history drama thriller
Private Benjamin,paris roleofwomen goldiehawn eileenbrennan armandassante howardzieff comedy
Coal Miner's Daughter,countrymusic femalefriendship biography sissyspacek tommyleejones levonhelm michaelapted drama music
Diary of a Wimpy Kid,basedonnovel comingofage youngboy zacharygordon robertcapron rachaelharris thorfreudenthal comedy family
Mama,supernaturalhorror jessicachastain nikolajcoster-waldau megancharpentier andymuschietti horror
National Lampoon's Vacation,usa relatives familyvacation chevychase beverlyd'angelo imogenecoca haroldramis comedy adventure romance
Bad Grandpa,duringcreditsstinger johnnyknoxville jacksonnicoll georginacates jefftremaine comedy
The Queen,upperclass lossofmother greatbritain helenmirren michaelsheen jamescromwell stephenfrears drama
Beetlejuice,minister giantsnake skeleton geenadavis alecbaldwin winonaryder timburton fantasy comedy
Why Did I Get Married?, tylerperry jillscott janetjackson tylerperry comedy drama
Little Women,depression motherdaughterrelationship pregnant winonaryder gabrielbyrne trinialvarado gillianarmstrong drama romance
The Woman in Black,londonengland secret remake danielradcliffe ciaránhinds sidneyjohnston jameswatkins drama horror thriller
When a Stranger Calls,babysitter deathofafriend killer camillabelle katiecassidy tommyflanagan simonwest horror thriller
Big Fat Liar,screenplay filmproducer auto frankiemuniz paulgiamatti amandabynes shawnlevy comedy family
The Deer Hunter,vietnamveteran pennsylvania vietnam robertdeniro johncazale johnsavage michaelcimino drama war
Wag the Dog,washingtond.c. rape cia dustinhoffman robertdeniro anneheche barrylevinson comedy drama
The Lizzie McGuire Movie, hilaryduff adamlamberg hallietodd jimfall family comedy
Snitch,fathersonrelationship basedontruestory dwaynejohnson barrypepper jonbernthal ricromanwaugh thriller drama
Krampus,fire winter santaclaus adamscott tonicollette allisontolman michaeldougherty horror comedy fantasy
The Faculty,americanfootball highschool alien jordanabrewster elijahwood cleaduvall robertrodriguez horror mystery sciencefiction
What's Love Got to Do with It,priceoffame tinaturner blackwoman angelabassett laurencefishburne vanessabellcalloway briangibson drama music
Cop Land,corruption newjersey handcuffs sylvesterstallone harveykeitel rayliotta jamesmangold action crime drama
Not Another Teen Movie,underdog ball kiss chylerleigh chrisevans jaimepressly joelgallen comedy
End of Watch,losangeles bulletproofvest u.s.marine jakegyllenhaal michaelpeña nataliemartinez davidayer crime drama thriller
The Skulls,journalist secretsociety pizza joshuajackson paulwalker hillharper robcohen crime drama thriller
The Theory of Everything,wifehusbandrelationship biography physicist eddieredmayne felicityjones charliecox jamesmarsh drama romance
Malibu's Most Wanted,streetgang losangeles jamiekennedy tayediggs anthonyanderson johnwhitesell comedy crime
Where the Heart Is,california baby supermarket natalieportman ashleyjudd stockardchanning mattwilliams comedy drama romance
Lawrence of Arabia,cairo arabian worldwari petero'toole alecguinness anthonyquinn davidlean adventure drama history
Halloween II,nurse shotgun nudity scouttaylor-compton sherimoonzombie tylermane robzombie horror
Wild,adventure biography hiking reesewitherspoon lauradern thomassadoski jean-marcvallée drama
The Last House on the Left,rape whitetrash revenge garretdillahunt michaelbowen joshuacox dennisiliadis crime thriller horror
The Wedding Date,basedonnovel callboy wedding debramessing dermotmulroney amyadams clarekilner comedy romance
Halloween: Resurrection,brothersisterrelationship innocence serialkiller jamieleecurtis bradloree bustarhymes rickrosenthal horror thriller
The Princess Bride,swashbuckler evilprince referencetosocrates caryelwes robinwright mandypatinkin robreiner adventure family fantasy
The Great Debaters,biography denzelwashington nateparker forestwhitaker denzelwashington drama
Drive,stuntman bloodsplatter independentfilm ryangosling careymulligan bryancranston nicolaswindingrefn drama action thriller
Confessions of a Teenage Drama Queen,rockstar spotlight highschool lindsaylohan adamgarcia glenneheadly sarasugarman comedy
The Object of My Affection,blinddate love fallinginlove jenniferaniston paulrudd haydenpanettiere nicholashytner comedy drama romance
28 Weeks Later,londonengland lossofmother lossoffamily imogenpoots robertcarlyle rosebyrne juancarlosfresnadillo horror thriller sciencefiction
When the Game Stands Tall,americanfootball sport highschoolsports jimcaviezel michaelchiklis lauradern thomascarter drama
Because of Winn-Dixie, jeffdaniels annasophiarobb cicelytyson waynewang comedy drama family
Love & Basketball,"lovers affection sport chriswarren,jr. kylapratt sanaalathan ginaprince-bythewood action comedy drama"
Grosse Pointe Blank,missionofmurder schoolparty highschoolreunion johncusack minniedriver danaykroyd georgearmitage action comedy thriller
All About Steve,blinddate eccentric aftercreditsstinger sandrabullock thomashadenchurch bradleycooper philtraill comedy
Book of Shadows: Blair Witch 2,witch video forest kimdirector jeffreydonovan ericaleerhsen joeberlinger mystery thriller horror
The Craft,witch suicideattempt puberty robintunney fairuzabalk nevecampbell andrewfleming drama fantasy horror
Match Point,lovetriangle londonengland upperclass jonathanrhysmeyers scarlettjohansson emilymortimer woodyallen drama thriller crime
Ramona and Beezus,sistersisterrelationship motherdaughterrelationship auntniecerelationship joeyking selenagomez johncorbett elizabethallenrosenbaum comedy family
The Remains of the Day,newspaper butler countryhouse anthonyhopkins emmathompson jamesfox jamesivory drama romance
Boogie Nights,pornography sex pornactor markwahlberg burtreynolds johnc.reilly paulthomasanderson drama
Nowhere to Run,prisoner fight liberation jean-claudevandamme rosannaarquette kieranculkin robertharmon action adventure drama
Flicka,horse timmcgraw mariabello armiehammer michaelmayer drama
The Hills Have Eyes 2,newmexico mutant assault michaelbaileysmith archiekao jayacovone martinweisz horror thriller
Urban Legends: Final Cut,filmmaking highschool sequel jennifermorrison matthewdavis lorettadevine johnottman horror
Tuck Everlasting, alexisbledel williamhurt sissyspacek jayrussell fantasy drama sciencefiction
The Marine,gangsterboss wife war johncena kellycarlson robertpatrick johnbonito action adventure drama
Keanu,hitman stripclub africanamerican jordanpeele keegan-michaelkey tiffanyhaddish peteratencio action comedy
Country Strong,suicide alcohol adultery gwynethpaltrow garretthedlund timmcgraw shanafeste drama romance
Disturbing Behavior,suicide sex island jamesmarsden katieholmes nickstahl davidnutter mystery horror sciencefiction
The Place Beyond the Pines,corruption fathersonrelationship carnival ryangosling bradleycooper evamendes derekcianfrance drama crime
The November Man,cia retired agent piercebrosnan lukebracey olgakurylenko rogerdonaldson crime action thriller
Eye of the Beholder,beautifulwoman serialkiller secretservice ewanmcgregor ashleyjudd patrickbergin stephanelliott drama mystery thriller
The Hurt Locker,sniper explosive loyalty jeremyrenner anthonymackie briangeraghty kathrynbigelow drama thriller war
Firestarter,fire telepathy intelligence davidkeith drewbarrymore freddiejones markl.lester fantasy drama horror
Killing Them Softly,poker gambling robbery bradpitt scootmcnairy benmendelsohn andrewdominik crime thriller
A Most Wanted Man,terror muslim intelligence philipseymourhoffman rachelmcadams robinwright antoncorbijn thriller
Freddy Got Fingered,wheelchair slacker sausage tomgreen riptorn marisacoughlan tomgreen comedy
VeggieTales: The Pirates Who Don't Do Anything,brotherbrotherrelationship hostage vegetable philvischer mikenawrocki camclarke mikenawrocki adventure animation comedy
U2 3D, bono theedge adamclayton markpellington music documentary
Highlander: Endgame,lossoflover antiquary lossofpowers christopherlambert brucepayne adrianpaul douglasaarniokoski action fantasy sciencefiction
Idlewild,mortician tiedtochair songanddance andrébenjamin paulapatton terrencehoward bryanbarber crime drama music
One Day,basedonnovel comedian job annehathaway jimsturgess patriciaclarkson lonescherfig drama romance
Whip It,sport rollerderby duringcreditsstinger ellenpage aliashawkat kristenwiig drewbarrymore drama
Knockaround Guys,montana sheriff pileofdeadbodies barrypepper andydavoli sethgreen briankoppelman crime thriller
Confidence,grifter con bigcon edwardburns rachelweisz morrischestnut jamesfoley action comedy thriller
The Muse,screenwriter muse albertbrooks sharonstone andiemacdowell albertbrooks fantasy comedy
De-Lovely,musical biography hollywood kevinkline ashleyjudd jonathanpryce irwinwinkler drama music
New York Stories,newyork mother hotel woodyallen marvinchatinover maequestel francisfordcoppola comedy drama romance
Barney's Great Adventure,  stevegomer family
The Man with the Iron Fists,blacksmith brothel femmefatale russellcrowe lucyliu jamiechung rza action
Home Fries,waitress infidelity plannedmurder drewbarrymore catherineo'hara lukewilson deanparisot drama comedy romance
Here On Earth,carrace privateschool diner leeleesobieski chrisklein joshhartnett markpiznarski romance
Brazil,bureaucracy policestate terror jonathanpryce robertdeniro katherinehelmond terrygilliam comedy sciencefiction
Raise Your Voice,music life'sdream aspiringsinger hilaryduff oliverjames davidkeith seanmcnamara music drama romance
The Big Lebowski,whiterussian dude bowling jeffbridges johngoodman juliannemoore joelcoen comedy crime
Black Snake Moan,southernusa blues militaryservice samuell.jackson christinaricci justintimberlake craigbrewer drama
Dark Blue,corruption policebrutality riot kurtrussell scottspeedman michaelmichele ronshelton action crime drama
A Mighty Heart,terror journalism newlove angelinajolie danfutterman irrfankhan michaelwinterbottom drama thriller
Whatever It Takes, jodilyno'keefe shanewest marlasokoloff davidraynr drama comedy romance
Boat Trip,gay bikini cruiseship cubagoodingjr. horatiosanz roselynsánchez mortnathan comedy
The Importance of Being Earnest,newlove countryestate countryhouse ruperteverett colinfirth reesewitherspoon oliverparker comedy drama history
The Love Letter, campbellscott jenniferjasonleigh daviddukes dancurtis comedy drama fantasy
Hoot,owl teenager animalprotection lukewilson loganlerman brielarson wilshriner drama family
In Bruges,brugesbelgium townsquare vietnamese colinfarrell brendangleeson ralphfiennes martinmcdonagh comedy drama crime
Peeples,duringcreditsstinger womandirector craigrobinson kerrywashington davidalangrier tinagordonchism comedy
The Rocker,1970s drums groupie rainnwilson joshgad christinaapplegate petercattaneo comedy music
Post Grad,career family unemployment alexisbledel zachgilford rodrigosantoro vickyjenson comedy
Promised Land,smalltown campaign salesman mattdamon johnkrasinski francesmcdormand gusvansant drama
Whatever Works,loveatfirstsight runaway agedifference larrydavid evanrachelwood adambrooks woodyallen comedy romance
The In Crowd,womandirector susanward loriheuring matthewsettle marylambert thriller
The Three Burials of Melquiades Estrada,borderpatrol unitedstates–mexicobarrier promise tommyleejones barrypepper dwightyoakam tommyleejones adventure crime drama
Jakob the Liar,jewry schutzstaffel jewishlife robinwilliams arminmueller-stahl hannahtaylor-gordon peterkassovitz comedy drama history
Kiss Kiss Bang Bang,detective loser custodybattle robertdowneyjr. valkilmer michellemonaghan shaneblack action comedy crime
Idle Hands,teenager attic knittingneedle devonsawa sethgreen jessicaalba rodmanflender thriller comedy horror
Mulholland Drive,schizophrenia identity amnesia naomiwatts lauraharring annmiller davidlynch thriller drama mystery
Blood and Chocolate,chocolate werewolf womandirector agnesbruckner hughdancy katjariemann katjavongarnier drama fantasy horror
You Will Meet a Tall Dark Stranger, gemmajones anthonyhopkins naomiwatts woodyallen comedy drama romance
Never Let Me Go,soul basedonnovel sadness careymulligan andrewgarfield keiraknightley markromanek drama romance sciencefiction
The Company,miniseries chriso'donnell alfredmolina michaelkeaton mikaelsalomon drama
Transsiberian,china marriedcouple backpacker woodyharrelson emilymortimer katemara bradanderson thriller crime mystery
The Clan of the Cave Bear,stoneage tribe cavemen darylhannah pamelareed jamesremar michaelchapman adventure drama
Crazy in Alabama, melaniegriffith davidmorse lucasblack antoniobanderas comedy drama
Funny Games,brotherbrotherrelationship boat psychopath naomiwatts timroth michaelpitt michaelhaneke horror thriller crime
Listening,secret telepathy technology thomasstroppel artieahr ambermariebollinger khalilsullins drama thriller sciencefiction
Felicia's Journey,suspense seriesofmurders bobhoskins elainecassidy arsinéekhanjian atomegoyan drama
Metropolis,manvsmachine undergroundworld inventor brigittehelm alfredabel gustavfröhlich fritzlang drama sciencefiction
District B13,paris bomb vororte davidbelle cyrilraffaelli tonyd'amario pierremorel action thriller sciencefiction
Things to Do in Denver When You're Dead,fathersonrelationship bountyhunter boat andygarcía christopherlloyd williamforsythe garyfleder drama crime
The Assassin,assassin tangdynasty ancientchina shuqi changchen nikkihsieh houhsiao-hsien action drama history
Buffalo Soldiers,germany corruption sex joaquinphoenix edharris scottglenn gregorjordan drama comedy war
The Return,return brother heavyrain vladimirgarin konstantinlavronenko nataliyavdovina andreyzvyagintsev thriller drama mystery
Ong Bak 2,sequel tonyjaa sarunyuwongkrachang sorapongchatree tonyjaa adventure action thriller
Centurion,romanempire ancientrome ancientworld michaelfassbender olgakurylenko davidmorrissey neilmarshall adventure action drama
Silent Trigger, dolphlundgren ginabellman conraddunn russellmulcahy drama action thriller
The Midnight Meat Train,photographer butcher vegetarian bradleycooper vinniejones brookeshields ryûheikitamura mystery drama crime
Winnie Mandela,biography nelsonmandela eliaskoteas terrencehoward jenniferhudson darrelljamesroodt drama
The Son of No One, channingtatum alpacino juliettebinoche ditomontiel drama thriller crime
All The Queen's Men,transvestism worldwarii mattleblanc eddieizzard jamescosmo stefanruzowitzky action comedy drama
The Good Night,dream midlifecrisis luciddreaming penélopecruz martinfreeman gwynethpaltrow jakepaltrow comedy drama romance
Bathory: Countess of Blood,sex legend countess annafriel karelroden hansmatheson jurajjakubisko drama fantasy
Khumba,3d khumba jaket.austin liamneeson stevebuscemi anthonysilverston animation adventure family
Automata,artificialintelligence rain future antoniobanderas birgittehjortsørensen dylanmcdermott gabeibáñez thriller sciencefiction
Dungeons & Dragons: Wrath of the Dragon God,fighter royalty curse brucepayne markdymond clemencyburton-hill gerrylively action adventure fantasy
Chiamatemi Francesco - Il Papa della gente,pope biography rodrigodelaserna sergiohernández àlexbrendemühl danieleluchetti drama
Shinjuku Incident,drugstealing yakluza shinjuku jackiechan naototakenaka danielwu derekyeetung-sing drama action thriller
Pandaemonium, linusroache johnhannah samanthamorton julientemple drama foreign
Groundhog Day,dejavu groundhog weatherforecast billmurray andiemacdowell chriselliott haroldramis romance fantasy drama
Magic Mike XXL,malefriendship stripclub roadtrip channingtatum mattbomer joemanganiello gregoryjacobs comedy drama music
Romeo + Juliet,shakespeare forbiddenlove gunviolence leonardodicaprio clairedanes johnleguizamo bazluhrmann drama romance
Sarah's Key, kristinscottthomas nielsarestrup frédéricpierrot gillespaquet-brenner drama war
Freedom,ship freedom slave cubagoodingjr. williamsadler sharonleal petercousens drama
Unforgiven,prostitute sheriff bounty clinteastwood genehackman morganfreeman clinteastwood western
Manderlay,southernusa slavery duringcreditsstinger brycedallashoward isaachdebankolé dannyglover larsvontrier drama
Slumdog Millionaire,slum indianlead cheating devpatel freidapinto anilkapoor dannyboyle drama romance
Fatal Attraction,sexualobsession wifehusbandrelationship deceivedwife michaeldouglas glennclose annearcher adrianlyne drama romance thriller
